abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
ala__L_c,C3H7NO2,L-Alanine,c,0,ala__L,,,,,,,
nad_c,C21H26N7O14P2,NAD+,c,-1,nad,,,,,,,
h2o_c,H2O,H2O,c,0,h2o,,,,,,,
pyr_c,C3H3O3,Pyruvate,c,-1,pyr,,,,,,,
nh3_c,H4N,Ammonia,c,1,nh4,,,,,,,
nadh_c,C21H27N7O14P2,NADH,c,-2,nadh,,,,,,,
h_c,H,H+,c,1,h,,,,,,,
asp__L_c,C4H6NO4,L-Aspartate,c,-1,asp__L,,,,,,,
fum_c,C4H2O4,Fumarate,c,-2,fum,,,,,,,
atp_c,C10H12N5O13P3,ATP,c,-3,atp,,,,,,,
gln_c,C5H10N2O3,L-Glutamine,c,0,gln__L,,,,,,,
amp_c,C10H12N5O7P,AMP,c,-2,amp,,,,,,,
ppi_c,HO7P2,Diphosphate,c,-2,ppi,,,,,,,
asn__L_c,C4H8N2O3,L-Asparagine,c,0,asn__L,,,,,,,
glu__L_c,C5H8NO4,L-Glutamate,c,-1,glu__L,,,,,,,
akg_c,C5H4O5,2-Oxoglutarate,c,-2,akg,,,,,,,
oa_c,C4H2O5,Oxaloacetate,c,-2,oaa,,,,,,,
o2_c,O2,O2,c,0,o2,,,,,,,
h2o2_c,H2O2,H2O2,c,0,h2o2,,,,,,,
co2_c,CO2,CO2,c,0,co2,,,,,,,
gaba_c,C4H9NO2,4-Aminobutanoate,c,0,4abut,,,,,,,
succsal_c,C4H5O3,Succinatesemialdehyde,c,-1,sucsal,,,,,,,
nadp_c,C21H25N7O17P3,NADP+,c,-3,nadp,,,,,,,
succ_c,C4H4O4,Succinate,c,-2,succ,,,,,,,
nadph_c,C21H26N7O17P3,NADPH,c,-4,nadph,,,,,,,
c20258_c,C7H9NO5,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",c,-2,4hthdp,,,,,,,
tdhdp_c,C7H7NO4,"2,3,4,5-Tetrahydrodipicolinate",c,-2,thdp,,,,,,,
butal_c,C4H8O,Butanal,c,0,btal,,,,,,,
coa_c,C21H32N7O16P3S,CoA,c,-3,coa,,,,,,,
c40coa_c,C25H38N7O17P3S,Butanoyl-CoA,c,-3,btcoa,,,,,,,
acal_c,C2H4O,Acetaldehyde,c,0,acald,,,,,,,
accoa_c,C23H34N7O17P3S,Acetyl-CoA,c,-3,accoa,,,,,,,
c06760_c,C7H8O4,"2-Hydroxy-5-methyl-cis,cis-muconicsemialdehyde",c,0,hmccms,,,,,,,
c07478_c,C7H8O5,"2-Hydroxy-5-methyl-cis,cis-muconate ",c,0,hmccm,,,,,,,
c00682_c,C6H6O4,2-Hydroxymuconatesemialdehyde,c,0,2hmcnsad,,,,,,,
c02501_c,C6H6O5,2-Hydroxymuconate ,c,0,2hmcnsad,,,,,,,
adp_c,C10H12N5O10P2,ADP,c,-2,adp,,,,,,,
pi_c,HO4P,Orthophosphate,c,-2,pi,,,,,,,
hco3_c,CHO3,HCO3-,c,-1,hco3,,,,,,,
cap_c,CH2NO5P,Carbamoylphosphate,c,-2,cbp,,,,,,,
basp__L_c,C4H6NO7P,4-Phospho-L-aspartate,c,-2,4pasp,,,,,,,
aspsa__L_c,C4H7NO3,L-Aspartate4-semialdehyde,c,0,aspsa,,,,,,,
hser__L_c,C4H9NO3,L-Homoserine,c,0,hom__L,,,,,,,
diamibu__L_c,C4H11N2O2,"L-2,4-Diaminobutanoate",c,1,24dab,,,,,,,
phser_c,C4H8NO6P,O-Phospho-L-homoserine,c,-2,phom,,,,,,,
thr__L_c,C4H9NO3,L-Threonine,c,0,thr__L,,,,,,,
obut_c,C4H5O3,2-Oxobutanoate,c,-1,2obut,,,,,,,
3pg_c,C3H4O7P,3-Phospho-D-glycerate,c,-3,3pg,,,,,,,
php_c,C3H2O7P,3-Phosphonooxypyruvate,c,-3,3php,,,,,,,
3pser__L_c,C3H6NO6P,O-Phospho-L-serine,c,-2,pser__L,,,,,,,
ser__L_c,C3H7NO3,L-Serine,c,0,ser__L,,,,,,,
ser__D_c,C3H7NO3,D-Serine,c,0,ser__D,,,,,,,
hcys_c,C4H9NO2S,L-Homocysteine,c,0,hcys__L,,,,,,,
llct_c,C7H14N2O4S,Cystathionine,c,0,cyst__L,,,,,,,
thf_c,C19H21N7O6,Tetrahydrofolate,c,-2,thf,,,,,,,
gly_c,C2H5NO2,Glycine,c,0,gly,,,,,,,
metthf_c,C20H21N7O6,"5,10-Methylenetetrahydrofolate",c,-2,mlthf,,,,,,,
am3oxbu_c,C4H7NO3,L-2-Amino-3-oxobutanoicacid,c,0,2aobut,,,,,,,
lipoylprotein_c,C8H14NOS2R,Lipoylprotein,c,0,lprot,,,,,,,
sap_c,C9H20N2OS2R,S-Aminomethyldihydrolipoylprotein,c,1,alpro,,,,,,,
dihydrolipoylprotein_c,C8H16NOS2R,Dihydrolipoylprotein,c,0,gcvHalip,dihydrolipoylprotein,,,,,,
amacr_c,C3H5NO2,2-Aminoacrylate,c,0,2amac,,,,,,,
aser_c,C5H9NO4,O-Acetyl-L-serine,c,0,acser,,,,,,,
h2s_c,H2S,Hydrogensulfide,c,0,h2s,,,,,,,
ac_c,C2H3O2,Acetate,c,-1,ac,,,,,,,
cys_c,C3H7NO2S,L-Cysteine,c,0,cys__L,,,,,,,
mpyr_c,C3H3O3S,Mercaptopyruvate,c,-1,mercppyr,,,,,,,
cysd_c,C3H7NO2S,D-Cysteine,c,0,cys__D,,,,,,,
merlac_c,C3H5O3S,3-Mercaptolactate,c,-1,mercplac,,,,,,,
h2so3_c,HO3S,Sulfite,c,-1,so3,,,,,,,
thj_c,HO3S2,Thiosulfate,c,-1,tsul,,,,,,,
succoa_c,C25H35N7O19P3S,Succinyl-CoA,c,-4,succoa,,,,,,,
oslhser_c,C8H12NO6,O-Succinyl-L-homoserine,c,-1,suchms,,,,,,,
sam_c,C15H23N6O5S,S-Adenosyl-L-methionine,c,1,amet,,,,,,,
met_c,C5H11NO2S,L-Methionine,c,0,met__L,,,,,,,
sah_c,C14H20N6O5S,S-Adenosyl-L-homocysteine,c,0,ahcys,,,,,,,
mthptglu_c,C30H39N9O12,5-methyltetrahydropteroyltri-L-glutamicacid,c,0,mhpglu,,,,,,,
thptglu_c,C29H37N9O12,tetrahydropteroyltri-L-glutamicacid,c,0,hpglu,,,,,,,
cyts_c,C4H5N3O,Cytosine,c,0,csn,,,,,,,
5mc_c,C5H7N3O,5-Methylcytosine,c,0,5mcsn,,,,,,,
rhcys_c,C9H17NO6S,S-Ribosyl-L-homocysteine,c,0,rhcys,,,,,,,
ad_c,C5H5N5,Adenine,c,0,ade,,,,,,,
dihy23dio_c,C5H8O4,"(4S)-4,5-Dihydroxypentan-2,3-dione",c,0,dhptd,,,,,,,
dsam_c,C14H24N6O3S,S-Adenosylmethioninamine,c,2,ametam,,,,,,,
sprmd_c,C7H22N3,Spermidine,c,3,spmd,,,,,,,
5mta_c,C11H15N5O3S,5-Methylthioadenosine,c,0,5mta,,,,,,,
sprm_c,C10H30N4,Spermine,c,4,sprm,,,,,,,
c05665_c,C3H7NO,3-Aminopropanal ,c,0,aproa,,,,,,,
bala_c,C3H7NO2,beta-Alanine,c,0,ala_B,,,,,,,
ptrsc_c,C4H14N2,Putrescine,c,2,ptrc,,,,,,,
mtr_c,C6H12O4S,5-Methylthio-D-ribose,c,0,5mtr,,,,,,,
mtr1p_c,C6H11O7PS,S-Methyl-5-thio-D-ribose1-phosphate,c,-2,5mdr1p,,,,,,,
mtrl1p_c,C6H11O7PS,S-Methyl-5-thio-D-ribulose1-phosphate,c,-2,5mdru1p,,,,,,,
dmtp1p_c,C6H9O6PS,"2,3-Diketo-5-methylthiopentyl-1-phosphate",c,-2,dkmpp,,,,,,,
hykemep_c,C6H9O6PS,2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate,c,-2,hkmpp,,,,,,,
d5mpo_c,C6H10O3S,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one",c,0,dhmtp,,,,,,,
for_c,CHO2,Formate,c,-1,for,,,,,,,
metobu_c,C5H7O3S,4-Methylthio-2-oxobutanoicacid,c,-1,4met2obut,,,,,,,
meth_c,CH4S,Methanethiol,c,0,ch4s,,,,,,,
r2mmal_c,C5H6O5,(R)-2-Methylmalate,c,-2,2mm__R,,,,,,,
mema_c,C5H4O4,2-Methylmaleate,c,-2,2mm,,,,,,,
ery3mem_c,C5H6O5,D-erythro-3-Methylmalate,c,-2,e3mmal,,,,,,,
aclac_c,C5H7O4,(S)-2-Acetolactate,c,-1,alac__S,,,,,,,
abut_c,C6H9O4,(S)-2-Aceto-2-hydroxybutanoate,c,-1,2ahbut,,,,,,,
hmop_c,C6H9O4,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,c,-1,3hmop,,,,,,,
33hmeoxobut_c,C5H7O4,3-Hydroxy-3-methyl-2-oxobutanoicacid,c,-1,33hmeoxobut,,,,,,,
dhmp_c,C6H11O4,"(R)-2,3-Dihydroxy-3-methylpentanoate",c,-1,23dhmp,,,,,,,
dh3mva_c,C5H9O4,"2,3-dihydroxy-3-methylbutanoicacid",c,-1,23dhmb,,,,,,,
3mop_c,C6H9O3,(S)-3-Methyl-2-oxopentanoicacid,c,-1,3mop,,,,,,,
dhmva_c,C5H9O4,"(R)-2,3-Dihydroxy-3-methylbutanoate",c,-1,23dhmb,,,,,,,
omval_c,C5H7O3,3-Methyl-2-oxobutanoicacid,c,-1,3mob,,,,,,,
ile_c,C6H13NO2,L-Isoleucine,c,0,ile__L,,,,,,,
val_c,C5H11NO2,L-Valine,c,0,val__L,,,,,,,
ippmal_c,C7H10O5,(2S)-2-Isopropylmalate,c,-2,3c3hmp,,,,,,,
ppmal_c,C7H8O4,2-Isopropylmaleate,c,-2,2ippm,,,,,,,
cbhcap_c,C7H10O5,"(2R,3S)-3-Isopropylmalate",c,-2,3c2hmp,,,,,,,
oicap_c,C7H8O5,(2S)-2-Isopropyl-3-oxosuccinate,c,-2,2ip3os,,,,,,,
4mop_c,C6H9O3,4-Methyl-2-oxopentanoate,c,-1,4mop,,,,,,,
leu_c,C6H13NO2,L-Leucine,c,0,leu__L,,,,,,,
mmsa_c,C4H5O3,(S)-Methylmalonatesemialdehyde,c,-1,mmtsa,,,,,,,
mmaln_c,C4H4O4,Methylmalonate,c,-2,mm,,,,,,,
mbcoa_c,C26H40N7O17P3S,(S)-2-Methylbutanoyl-CoA,c,-3,2mbcoa,,,,,,,
mcrcoa_c,C26H38N7O17P3S,2-Methylbut-2-enoyl-CoA,c,-3,3mb2coa,,,,,,,
hmbutcoa_c,C26H40N7O18P3S,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA",c,-3,3hmbcoa,,,,,,,
mcecoa_c,C26H38N7O18P3S,2-Methylacetoacetyl-CoA,c,-3,2maacoa,,,,,,,
propcoa_c,C24H36N7O17P3S,Propanoyl-CoA,c,-3,ppcoa,,,,,,,
ibcoa_c,C25H38N7O17P3S,Isobutyryl-CoA,c,-3,ibcoa,,,,,,,
meenco_c,C25H36N7O17P3S,2-Methylprop-2-enoyl-CoA,c,-3,2mp2coa,,,,,,,
hibutcoa_c,C25H38N7O18P3S,(S)-3-Hydroxyisobutyryl-CoA,c,-3,3hibutcoa,,,,,,,
fad_c,C27H31N9O15P2,FAD,c,-2,fad,,,,,,,
mbutcoa_c,C26H40N7O17P3S,3-Methylbutanoyl-CoA,c,-3,ivcoa,,,,,,,
fadh2_c,C27H33N9O15P2,FADH2,c,-2,fadh2,,,,,,,
mecrco_c,C26H38N7O17P3S,3-Methylcrotonyl-CoA,c,-3,3mb2coa,,,,,,,
hyisorate_c,C4H7O3,3-Hydroxy-2-methylpropanoate,c,-1,3hmp,,,,,,,
mmcoa_c,C25H35N7O19P3S,(S)-Methylmalonyl-CoA,c,-4,mmcoa__S,,,,,,,
rmmcoa_c,C25H35N7O19P3S,(R)-Methylmalonyl-CoA,c,-4,mmcoa__R,,,,,,,
aibut_c,C4H9NO2,L-3-Amino-isobutanoate,c,0,3aib,,,,,,,
dhdp_c,C7H5NO4,"L-2,3-Dihydrodipicolinate",c,-2,23dhdp,,,,,,,
acamoxm_c,C9H11NO6,N-Acetyl-L-2-amino-6-oxopimelate,c,-2,nal2a6o,,,,,,,
al26da_c,C9H15N2O5,"N6-Acetyl-LL-2,6-diaminoheptanedioate",c,-1,al26da,,,,,,,
sdapim_c,C11H16N2O7,"N-Succinyl-LL-2,6-diaminoheptanedioate",c,-2,sl26da,,,,,,,
dapim_c,C7H14N2O4,"LL-2,6-Diaminoheptanedioate",c,0,26dap_LL,,,,,,,
mdapim_c,C7H14N2O4,"meso-2,6-Diaminoheptanedioate",c,0,26dap__M,,,,,,,
lys_c,C6H15N2O2,L-Lysine,c,1,lys__L,,,,,,,
blys_c,C6H15N2O2,"(3S)-3,6-Diaminohexanoate",c,1,36dahx,,,,,,,
naglu_c,C7H9NO5,N-Acetyl-L-glutamate,c,-2,acglu,,,,,,,
naglup_c,C7H9NO8P,N-Acetyl-L-glutamate5-phosphate,c,-3,acg5p,,,,,,,
naglus_c,C7H10NO4,N-Acetyl-L-glutamate5-semialdehyde,c,-1,acg5sa,,,,,,,
naorn_c,C7H14N2O3,N-Acetylornithine,c,0,acorn,,,,,,,
orn_c,C5H13N2O2,L-Ornithine,c,1,orn,,,,,,,
citr_c,C6H13N3O3,L-Citrulline,c,0,citr__L,,,,,,,
argsucc_c,C10H17N4O6,N-(L-Arginino)succinate,c,-1,argsuc,,,,,,,
arg_c,C6H15N4O2,L-Arginine,c,1,arg__L,,,,,,,
urea_c,CH4N2O,Urea,c,0,urea,,,,,,,
agmt_c,C5H16N4,Agmatine,c,2,agm,,,,,,,
no_c,NO,Nitricoxide,c,0,no,,,,,,,
ureacar_c,C2H3N2O3,Urea-1-carboxylate,c,-1,allphn,,,,,,,
