,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BMD_RS00005,NODE_27_length_40189_cov_161.615925_33,94.866,448,23,0,1,448,1,448,0.0,848.0,448,1.0,<=>
3,BMD_RS00010,NODE_27_length_40189_cov_161.615925_34,90.765,379,35,0,1,379,1,379,0.0,696.0,379,1.0,<=>
4,BMD_RS00015,NODE_27_length_40189_cov_161.615925_35,81.944,72,13,0,1,72,2,73,1.6e-40,124.0,72,1.0,<=>
5,BMD_RS00020,NODE_27_length_40189_cov_161.615925_36,88.472,373,43,0,1,373,1,373,0.0,693.0,373,1.0,<=>
6,BMD_RS00025,NODE_27_length_40189_cov_161.615925_37,93.427,639,42,0,1,639,3,641,0.0,1173.0,639,1.0,<=>
8,BMD_RS00030,NODE_27_length_40189_cov_161.615925_38,94.19,809,47,0,1,809,1,809,0.0,1566.0,837,0.966547192353644,<=>
10,BMD_RS00060,NODE_130_length_8898_cov_168.343045_1,59.502,321,126,1,6,322,6,326,9.159999999999999e-137,387.0,322,0.9968944099378882,<=>
11,BMD_RS00065,NODE_130_length_8898_cov_168.343045_2,95.092,489,24,0,1,489,1,489,0.0,949.0,489,1.0,<=>
16,BMD_RS00070,NODE_130_length_8898_cov_168.343045_3,63.216,454,161,5,1,452,1,450,0.0,586.0,452,1.0044247787610618,<=>
19,BMD_RS00075,NODE_130_length_8898_cov_168.343045_4,96.959,296,9,0,1,296,1,296,0.0,582.0,296,1.0,<=>
21,BMD_RS00080,NODE_130_length_8898_cov_168.343045_5,82.143,196,35,0,1,196,1,196,9.810000000000001e-123,342.0,196,1.0,<=>
24,BMD_RS00085,NODE_130_length_8898_cov_168.343045_6,89.151,424,46,0,1,424,1,424,0.0,800.0,426,0.9953051643192489,<=>
25,BMD_RS00095,NODE_130_length_8898_cov_168.343045_7,89.732,224,23,0,2,225,1,224,1.52e-159,437.0,227,0.986784140969163,<=>
28,BMD_RS00100,NODE_151_length_6724_cov_157.095381_1,79.213,178,37,0,1,178,1,178,1.58e-105,298.0,212,0.839622641509434,<=>
31,BMD_RS00105,NODE_151_length_6724_cov_157.095381_2,77.315,432,97,1,1,432,1,431,0.0,709.0,434,0.9953917050691244,<=>
39,BMD_RS00110,NODE_151_length_6724_cov_157.095381_3,73.184,179,48,0,3,181,3,181,4.19e-99,281.0,181,0.988950276243094,<=>
42,BMD_RS00115,NODE_151_length_6724_cov_157.095381_4,75.796,157,37,1,1,156,1,157,1.08e-87,250.0,157,1.0,<=>
46,BMD_RS00120,NODE_151_length_6724_cov_157.095381_5,77.837,564,122,3,1,563,1,562,0.0,910.0,563,1.0017761989342806,<=>
51,BMD_RS00125,NODE_151_length_6724_cov_157.095381_6,92.523,107,8,0,1,107,2,108,2.9699999999999996e-52,156.0,107,1.0,<=>
52,BMD_RS00130,NODE_151_length_6724_cov_157.095381_7,95.98,199,8,0,1,199,1,199,1.09e-143,395.0,199,1.0,<=>
53,BMD_RS00135,NODE_151_length_6724_cov_157.095381_8,72.0,75,21,0,1,75,1,75,2.31e-36,114.0,75,1.0,<=>
54,BMD_RS00140,NODE_245_length_518_cov_151.560091_1,67.778,90,29,0,1,90,1,90,9.960000000000001e-32,103.0,90,1.0,<=>
55,BMD_RS25710,NODE_241_length_560_cov_169.921325_1,51.064,47,23,0,8,54,10,56,1.1e-13,55.8,61,0.7704918032786885,<=>
56,BMD_RS00220,NODE_71_length_19219_cov_159.080765_1,52.621,477,222,4,1,475,4,478,2.36e-173,493.0,475,1.0042105263157894,<=>
58,BMD_RS00225,NODE_71_length_19219_cov_159.080765_2,69.072,194,60,0,2,195,3,196,1.01e-100,287.0,209,0.9282296650717703,<=>
59,BMD_RS00230,NODE_71_length_19219_cov_159.080765_3,86.364,110,15,0,1,110,1,110,3.09e-69,199.0,110,1.0,<=>
60,BMD_RS00235,NODE_71_length_19219_cov_159.080765_4,75.227,331,82,0,1,331,1,331,0.0,519.0,331,1.0,<=>
62,BMD_RS00240,NODE_71_length_19219_cov_159.080765_5,94.565,276,15,0,1,276,1,276,0.0,530.0,276,1.0,<=>
63,BMD_RS00245,NODE_71_length_19219_cov_159.080765_6,90.164,122,12,0,1,122,1,122,1.31e-78,224.0,122,1.0,<=>
64,BMD_RS00250,NODE_71_length_19219_cov_159.080765_7,77.108,249,57,0,1,249,1,249,4.9399999999999995e-146,405.0,249,1.0,<=>
66,BMD_RS00255,NODE_71_length_19219_cov_159.080765_8,70.833,96,28,0,1,96,1,96,4.77e-49,147.0,96,1.0,<=>
67,BMD_RS00260,NODE_71_length_19219_cov_159.080765_9,71.233,292,83,1,1,291,1,292,4.81e-158,439.0,291,1.0034364261168385,<=>
68,BMD_RS00265,NODE_71_length_19219_cov_159.080765_10,92.632,95,7,0,3,97,1,95,3.17e-60,176.0,97,0.979381443298969,<=>
73,BMD_RS00270,NODE_71_length_19219_cov_159.080765_11,88.182,660,76,1,4,661,2,661,0.0,1218.0,661,0.9984871406959153,<=>
82,BMD_RS00275,NODE_71_length_19219_cov_159.080765_12,83.658,257,42,0,1,257,1,257,2.19e-168,462.0,257,1.0,<=>
83,BMD_RS00280,NODE_71_length_19219_cov_159.080765_13,82.258,186,33,0,1,186,1,186,4.66e-112,314.0,188,0.9893617021276596,<=>
85,BMD_RS00285,NODE_71_length_19219_cov_159.080765_14,89.347,291,31,0,1,291,1,291,0.0,501.0,293,0.9931740614334471,<=>
86,BMD_RS00290,NODE_71_length_19219_cov_159.080765_15,82.699,289,49,1,1,289,1,288,0.0,511.0,291,0.993127147766323,<=>
87,BMD_RS00295,NODE_71_length_19219_cov_159.080765_16,98.718,78,1,0,1,78,1,78,8.46e-53,155.0,78,1.0,<=>
88,BMD_RS00300,NODE_71_length_19219_cov_159.080765_17,75.926,54,13,0,1,54,1,54,2.1900000000000003e-27,90.1,57,0.9473684210526315,<=>
89,BMD_RS00305,NODE_71_length_19219_cov_159.080765_18,86.897,290,38,0,1,290,1,290,0.0,531.0,290,1.0,<=>
91,BMD_RS00310,NODE_71_length_19219_cov_159.080765_19,94.526,274,15,0,1,274,1,274,0.0,517.0,274,1.0,<=>
95,BMD_RS00315,NODE_71_length_19219_cov_159.080765_20,89.683,126,13,0,1,126,1,126,1.06e-81,232.0,126,1.0,<=>
96,BMD_RS00320,NODE_71_length_19219_cov_159.080765_21,98.969,97,1,0,1,97,1,97,2.1299999999999998e-67,194.0,97,1.0,<=>
97,BMD_RS00325,NODE_71_length_19219_cov_159.080765_22,92.391,460,35,0,1,460,1,460,0.0,880.0,460,1.0,<=>
103,BMD_RS00330,NODE_71_length_19219_cov_159.080765_23,94.969,318,16,0,1,318,1,318,0.0,617.0,318,1.0,<=>
106,BMD_RS00335,NODE_33_length_33420_cov_158.845455_1,74.762,210,51,1,1,208,1,210,2.1e-112,317.0,210,1.0,<=>
107,BMD_RS00340,NODE_33_length_33420_cov_158.845455_2,81.72,186,34,0,1,186,1,186,5.29e-115,321.0,186,1.0,<=>
108,BMD_RS00350,NODE_33_length_33420_cov_158.845455_3,86.321,1177,161,0,1,1177,1,1177,0.0,2071.0,1177,1.0,<=>
114,BMD_RS00360,NODE_33_length_33420_cov_158.845455_4,91.62,179,15,0,1,179,1,179,1.32e-119,332.0,179,1.0,<=>
119,BMD_RS00365,NODE_33_length_33420_cov_158.845455_5,56.262,535,226,3,1,531,1,531,0.0,572.0,535,1.0,<=>
124,BMD_RS00370,NODE_33_length_33420_cov_158.845455_6,70.393,483,141,1,1,483,1,481,0.0,708.0,487,0.9917864476386037,<=>
125,BMD_RS00375,NODE_33_length_33420_cov_158.845455_7,86.047,86,12,0,1,86,1,86,8.51e-50,149.0,89,0.9662921348314607,<=>
126,BMD_RS00380,NODE_33_length_33420_cov_158.845455_8,93.137,102,7,0,1,102,1,102,7.379999999999999e-67,193.0,102,1.0,<=>
127,BMD_RS00385,NODE_33_length_33420_cov_158.845455_9,65.385,208,72,0,1,208,1,208,7.640000000000001e-97,277.0,208,1.0,<=>
128,BMD_RS00390,NODE_33_length_33420_cov_158.845455_10,78.226,124,27,0,1,124,1,124,4.47e-65,190.0,124,1.0,<=>
129,BMD_RS00395,NODE_33_length_33420_cov_158.845455_11,95.541,157,5,2,1,156,1,156,4.3099999999999994e-104,291.0,156,1.0064102564102564,<=>
137,BMD_RS00410,NODE_33_length_33420_cov_158.845455_12,89.346,826,88,0,1,826,1,826,0.0,1491.0,826,1.0,<=>
140,BMD_RS00415,NODE_33_length_33420_cov_158.845455_13,89.516,248,25,1,1,247,1,248,9.400000000000001e-163,447.0,247,1.0040485829959513,<=>
141,BMD_RS00420,NODE_33_length_33420_cov_158.845455_14,62.422,322,120,1,1,322,2,322,1.81e-139,394.0,322,1.0,<=>
144,BMD_RS00425,NODE_33_length_33420_cov_158.845455_15,63.696,460,166,1,1,459,1,460,0.0,617.0,459,1.0021786492374727,<=>
145,BMD_RS00430,NODE_33_length_33420_cov_158.845455_16,91.667,180,15,0,1,180,1,180,1.78e-117,327.0,180,1.0,<=>
146,BMD_RS00435,NODE_33_length_33420_cov_158.845455_17,91.667,636,52,1,1,635,1,636,0.0,1153.0,637,0.9984301412872841,<=>
153,BMD_RS00440,NODE_33_length_33420_cov_158.845455_18,96.484,256,9,0,1,256,4,259,0.0,507.0,256,1.0,<=>
154,BMD_RS00445,NODE_33_length_33420_cov_158.845455_19,87.713,293,36,0,1,293,1,293,0.0,540.0,293,1.0,<=>
155,BMD_RS00450,NODE_33_length_33420_cov_158.845455_20,91.961,311,25,0,1,311,1,311,0.0,558.0,313,0.9936102236421726,<=>
161,BMD_RS00455,NODE_33_length_33420_cov_158.845455_21,74.894,470,116,1,1,470,1,468,0.0,739.0,472,0.9957627118644068,<=>
164,BMD_RS00460,NODE_33_length_33420_cov_158.845455_22,89.691,194,20,0,1,194,1,194,2.47e-134,371.0,194,1.0,<=>
168,BMD_RS00465,NODE_33_length_33420_cov_158.845455_23,67.73,282,91,0,1,282,1,282,1.7699999999999998e-141,397.0,288,0.9791666666666666,<=>
171,BMD_RS00470,NODE_33_length_33420_cov_158.845455_25,75.0,120,30,0,1,120,1,120,1.5500000000000001e-66,193.0,120,1.0,<=>
172,BMD_RS00475,NODE_33_length_33420_cov_158.845455_26,57.143,161,69,0,1,161,1,161,3.83e-61,184.0,182,0.8846153846153846,<=>
173,BMD_RS00480,NODE_33_length_33420_cov_158.845455_27,93.333,495,33,0,1,495,1,495,0.0,953.0,495,1.0,<=>
177,BMD_RS00500,NODE_13_length_58972_cov_159.635436_75,83.117,154,26,0,1,154,1,154,4.11e-92,261.0,154,1.0,<=>
178,BMD_RS00505,NODE_13_length_58972_cov_159.635436_74,74.586,181,45,1,1,181,1,180,2.17e-92,264.0,181,1.0,<=>
179,BMD_RS00510,NODE_13_length_58972_cov_159.635436_73,79.155,355,73,1,4,358,3,356,0.0,575.0,358,0.9916201117318436,<=>
180,BMD_RS00515,NODE_13_length_58972_cov_159.635436_72,96.683,814,27,0,1,814,1,814,0.0,1596.0,814,1.0,<=>
188,BMD_RS00520,NODE_13_length_58972_cov_159.635436_71,91.739,460,37,1,1,459,1,460,0.0,873.0,459,1.0021786492374727,<=>
191,BMD_RS00525,NODE_13_length_58972_cov_159.635436_70,90.756,357,32,1,4,360,4,359,0.0,660.0,360,0.9916666666666667,<=>
192,BMD_RS00530,NODE_13_length_58972_cov_159.635436_69,90.437,366,35,0,1,366,1,366,0.0,665.0,366,1.0,<=>
193,BMD_RS00535,NODE_13_length_58972_cov_159.635436_68,66.222,225,76,0,1,225,1,225,7.89e-112,317.0,234,0.9615384615384616,<=>
194,BMD_RS00540,NODE_13_length_58972_cov_159.635436_67,90.625,160,15,0,1,160,1,160,1.06e-108,303.0,160,1.0,<=>
195,BMD_RS00545,NODE_13_length_58972_cov_159.635436_66,87.164,483,62,0,1,483,1,483,0.0,866.0,486,0.9938271604938271,<=>
196,BMD_RS00550,NODE_13_length_58972_cov_159.635436_65,89.498,219,22,1,1,219,1,218,5.96e-144,397.0,219,1.0,<=>
199,BMD_RS00555,NODE_13_length_58972_cov_159.635436_64,87.768,466,57,0,1,466,1,466,0.0,861.0,466,1.0,<=>
202,BMD_RS00560,NODE_13_length_58972_cov_159.635436_63,83.824,136,22,0,1,136,1,136,3.71e-81,232.0,142,0.9577464788732394,<=>
203,BMD_RS00565,NODE_13_length_58972_cov_159.635436_62,84.615,247,38,0,2,248,3,249,4.36e-160,441.0,248,0.9959677419354839,<=>
206,BMD_RS00570,NODE_13_length_58972_cov_159.635436_61,82.941,170,29,0,1,170,1,170,8.66e-106,297.0,170,1.0,<=>
207,BMD_RS00575,NODE_13_length_58972_cov_159.635436_60,96.313,217,8,0,1,217,1,217,2.02e-154,424.0,217,1.0,<=>
213,BMD_RS00580,NODE_13_length_58972_cov_159.635436_59,76.0,50,12,0,1,50,1,50,8.15e-24,80.5,50,1.0,<=>
215,BMD_RS00585,NODE_13_length_58972_cov_159.635436_58,88.333,60,7,0,1,60,1,60,2.27e-35,110.0,60,1.0,<=>
216,BMD_RS00590,NODE_13_length_58972_cov_159.635436_57,95.506,178,8,0,1,178,1,178,2.9599999999999997e-115,321.0,178,1.0,<=>
217,BMD_RS00595,NODE_13_length_58972_cov_159.635436_56,99.296,142,1,0,1,142,1,142,1.32e-99,279.0,142,1.0,<=>
218,BMD_RS00600,NODE_13_length_58972_cov_159.635436_55,95.671,231,10,0,1,231,1,231,5.27e-152,419.0,232,0.9956896551724138,<=>
