,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BSU_00010,NODE_27_length_40189_cov_161.615925_33,87.22,446,57,0,1,446,1,446,0.0,792.0,447,0.9977628635346756,<=>
4,BSU_00020,NODE_27_length_40189_cov_161.615925_34,75.726,379,92,0,1,379,1,379,0.0,581.0,379,1.0,<=>
5,BSU_00030,NODE_27_length_40189_cov_161.615925_35,66.667,72,24,0,1,72,2,73,6.64e-29,95.1,72,1.0,<=>
6,BSU_00040,NODE_27_length_40189_cov_161.615925_36,70.0,370,111,0,1,370,1,370,0.0,556.0,371,0.9973045822102425,<=>
7,BSU_00060,NODE_27_length_40189_cov_161.615925_37,82.344,640,111,2,1,639,3,641,0.0,1041.0,639,1.001564945226917,<=>
9,BSU_00070,NODE_27_length_40189_cov_161.615925_38,78.934,807,170,0,1,807,1,807,0.0,1336.0,822,0.9817518248175182,<=>
11,BSU_00080,NODE_130_length_8898_cov_168.343045_1,40.881,318,164,3,2,305,4,311,4.83e-76,233.0,316,1.0063291139240507,<=>
12,BSU_00090,NODE_130_length_8898_cov_168.343045_2,87.73,489,60,0,1,489,1,489,0.0,889.0,489,1.0,<=>
19,BSU_00100,NODE_130_length_8898_cov_168.343045_3,47.894,451,221,6,4,444,4,450,1.1299999999999999e-136,397.0,444,1.0157657657657657,<=>
22,BSU_00110,NODE_130_length_8898_cov_168.343045_4,90.753,292,27,0,4,295,5,296,0.0,540.0,295,0.9898305084745763,<=>
25,BSU_00120,NODE_130_length_8898_cov_168.343045_5,68.394,193,61,0,1,193,1,193,5.2e-99,282.0,197,0.9796954314720813,<=>
27,BSU_00130,NODE_130_length_8898_cov_168.343045_6,80.378,423,83,0,1,423,1,423,0.0,725.0,426,0.9929577464788732,<=>
29,BSU_00140,NODE_130_length_8898_cov_168.343045_7,69.159,214,66,0,3,216,6,219,1.58e-117,331.0,218,0.981651376146789,<=>
33,BSU_00150,NODE_151_length_6724_cov_157.095381_1,59.551,178,72,0,1,178,1,178,9.09e-78,228.0,208,0.8557692307692307,<=>
35,BSU_00160,NODE_151_length_6724_cov_157.095381_2,52.955,423,199,0,2,424,6,428,6.4e-175,493.0,428,0.9883177570093458,<=>
40,BSU_00170,NODE_151_length_6724_cov_157.095381_3,57.803,173,73,0,7,179,7,179,2.6800000000000002e-70,208.0,182,0.9505494505494505,<=>
42,BSU_00180,NODE_151_length_6724_cov_157.095381_4,70.625,160,46,1,1,159,1,160,1.0699999999999999e-81,235.0,162,0.9876543209876543,<=>
45,BSU_00190,NODE_151_length_6724_cov_157.095381_5,60.106,564,223,2,1,564,1,562,0.0,726.0,564,1.0,<=>
49,BSU_00200,NODE_151_length_6724_cov_157.095381_6,85.849,106,15,0,1,106,2,107,3.8999999999999997e-48,146.0,108,0.9814814814814815,<=>
50,BSU_00210,NODE_151_length_6724_cov_157.095381_7,87.94,199,24,0,1,199,1,199,9.58e-135,372.0,199,1.0,<=>
51,BSU_00220,NODE_151_length_6724_cov_157.095381_8,44.286,70,39,0,1,70,1,70,4.55e-17,65.5,75,0.9333333333333333,<=>
52,BSU_00230,NODE_245_length_518_cov_151.560091_1,42.029,69,40,0,20,88,22,90,6.95e-14,58.2,88,0.7840909090909091,<=>
53,BSU_00240,NODE_241_length_560_cov_169.921325_1,29.787,47,33,0,11,57,10,56,9.43e-06,35.8,65,0.7230769230769231,<=>
54,BSU_00250,NODE_6_length_84183_cov_123.491630_15,29.231,195,129,5,7,200,11,197,9.950000000000001e-21,82.8,205,0.9512195121951219,<=>
55,BSU_00260,NODE_6_length_84183_cov_123.491630_14,54.4,375,168,2,10,384,10,381,8.23e-141,403.0,387,0.9689922480620154,<=>
56,BSU_00270,NODE_71_length_19219_cov_159.080765_1,45.322,481,240,9,4,474,9,476,4.4499999999999996e-126,372.0,481,1.0,<=>
59,BSU_00280,NODE_71_length_19219_cov_159.080765_2,65.842,202,69,0,2,203,3,204,2.78e-92,266.0,213,0.9483568075117371,<=>
61,BSU_00290,NODE_71_length_19219_cov_159.080765_3,68.182,110,35,0,1,110,1,110,1.3e-55,165.0,110,1.0,<=>
62,BSU_00300,NODE_111_length_11448_cov_161.161639_2,34.328,134,85,2,17,147,13,146,2.02e-22,84.0,147,0.9115646258503401,<=>
63,BSU_00310,NODE_71_length_19219_cov_159.080765_4,52.87,331,155,1,1,330,1,331,9.210000000000001e-124,355.0,330,1.003030303030303,<=>
65,BSU_00320,NODE_71_length_19219_cov_159.080765_5,77.174,276,63,0,1,276,1,276,1.2500000000000001e-160,444.0,276,1.0,<=>
66,BSU_00330,NODE_71_length_19219_cov_159.080765_6,68.033,122,37,2,1,120,1,122,7.68e-57,169.0,120,1.0166666666666666,<=>
67,BSU_00340,NODE_71_length_19219_cov_159.080765_7,71.545,246,69,1,1,245,1,246,5.08e-133,372.0,248,0.9919354838709677,<=>
69,BSU_00350,NODE_71_length_19219_cov_159.080765_8,57.778,90,37,1,1,89,1,90,9.52e-34,109.0,100,0.9,<=>
70,BSU_00360,NODE_71_length_19219_cov_159.080765_9,59.655,290,116,1,2,290,1,290,5.1100000000000005e-129,365.0,293,0.9897610921501706,<=>
71,BSU_00370,NODE_71_length_19219_cov_159.080765_10,85.87,92,13,0,3,94,1,92,6.76e-56,165.0,97,0.9484536082474226,<=>
76,BSU_00380,NODE_71_length_19219_cov_159.080765_11,75.867,663,154,4,5,665,3,661,0.0,1056.0,665,0.9969924812030075,<=>
85,BSU_00390,NODE_71_length_19219_cov_159.080765_12,76.863,255,59,0,1,255,1,255,4.89e-155,428.0,256,0.99609375,<=>
91,BSU_00410,NODE_71_length_19219_cov_159.080765_13,63.587,184,67,0,1,184,1,184,4.72e-83,241.0,187,0.983957219251337,<=>
93,BSU_00420,NODE_71_length_19219_cov_159.080765_14,74.914,291,73,0,1,291,1,291,1e-156,436.0,293,0.9931740614334471,<=>
94,BSU_00430,NODE_71_length_19219_cov_159.080765_15,63.918,291,103,1,1,291,1,289,1.11e-137,387.0,291,1.0,<=>
95,BSU_00440,NODE_71_length_19219_cov_159.080765_16,80.263,76,15,0,1,76,1,76,6.92e-44,133.0,87,0.8735632183908046,<=>
96,BSU_00450,NODE_71_length_19219_cov_159.080765_17,63.158,57,21,0,1,57,1,57,2.2699999999999997e-23,80.5,62,0.9193548387096774,<=>
97,BSU_00460,NODE_71_length_19219_cov_159.080765_18,74.138,290,75,0,1,290,1,290,3.27e-163,452.0,290,1.0,<=>
99,BSU_00470,NODE_71_length_19219_cov_159.080765_19,70.33,273,81,0,1,273,1,273,1.3e-143,401.0,286,0.9545454545454546,<=>
103,BSU_00480,NODE_71_length_19219_cov_159.080765_20,79.339,121,25,0,5,125,4,124,5.38e-70,202.0,126,0.9603174603174603,<=>
104,BSU_00490,NODE_71_length_19219_cov_159.080765_21,89.796,98,9,1,1,98,1,97,1.37e-59,174.0,98,1.0,<=>
105,BSU_00500,NODE_71_length_19219_cov_159.080765_22,72.052,458,126,1,1,456,1,458,0.0,697.0,457,1.0021881838074398,<=>
111,BSU_00510,NODE_71_length_19219_cov_159.080765_23,82.704,318,55,0,1,318,1,318,0.0,551.0,318,1.0,<=>
112,BSU_00520,NODE_33_length_33420_cov_158.845455_1,47.236,199,105,0,3,201,4,202,4.23e-60,184.0,205,0.9707317073170731,<=>
113,BSU_00530,NODE_33_length_33420_cov_158.845455_2,73.224,183,49,0,3,185,3,185,2.07e-98,280.0,189,0.9682539682539683,<=>
114,BSU_00550,NODE_33_length_33420_cov_158.845455_3,68.713,1173,366,1,4,1176,5,1176,0.0,1650.0,1178,0.9957555178268251,<=>
122,BSU_00560,NODE_33_length_33420_cov_158.845455_4,77.095,179,41,0,1,179,1,179,9.71e-105,295.0,179,1.0,<=>
127,BSU_00570,NODE_33_length_33420_cov_158.845455_5,43.021,523,282,7,14,524,12,530,3.9199999999999994e-126,376.0,533,0.9812382739212008,<=>
131,BSU_00580,NODE_33_length_33420_cov_158.845455_6,59.917,484,191,2,1,484,1,481,0.0,597.0,490,0.9877551020408163,<=>
132,BSU_00590,NODE_33_length_33420_cov_158.845455_7,68.235,85,27,0,1,85,1,85,1.82e-39,122.0,87,0.9770114942528736,<=>
134,BSU_00600,NODE_33_length_33420_cov_158.845455_8,72.816,103,25,2,1,101,1,102,1.1399999999999999e-48,147.0,101,1.0198019801980198,<=>
135,BSU_00610,NODE_33_length_33420_cov_158.845455_9,43.367,196,104,2,1,196,1,189,4.4499999999999995e-45,146.0,212,0.9245283018867925,<=>
136,BSU_00620,NODE_33_length_33420_cov_158.845455_10,42.975,121,63,2,5,122,5,122,4.1200000000000003e-29,99.4,126,0.9603174603174603,<=>
137,BSU_00630,NODE_33_length_33420_cov_158.845455_11,72.414,145,13,2,1,118,1,145,9.1e-67,196.0,129,1.124031007751938,<=>
145,BSU_00640,NODE_33_length_33420_cov_158.845455_12,58.404,827,339,3,1,824,1,825,0.0,940.0,828,0.998792270531401,<=>
148,BSU_00650,NODE_33_length_33420_cov_158.845455_13,66.532,248,81,2,1,246,1,248,4.9e-118,334.0,246,1.008130081300813,<=>
149,BSU_00660,NODE_33_length_33420_cov_158.845455_14,44.776,335,166,5,1,334,1,317,1.8200000000000002e-103,303.0,339,0.9882005899705014,<=>
151,BSU_00670,NODE_33_length_33420_cov_158.845455_15,50.559,447,215,4,2,446,3,445,5.58e-165,471.0,473,0.945031712473573,<=>
152,BSU_00680,NODE_33_length_33420_cov_158.845455_16,83.333,180,30,0,2,181,1,180,4.24e-108,303.0,181,0.994475138121547,<=>
154,BSU_00690,NODE_33_length_33420_cov_158.845455_17,83.333,636,101,2,1,633,1,634,0.0,1041.0,638,0.9968652037617555,<=>
158,BSU_00700,NODE_33_length_33420_cov_158.845455_18,78.261,253,55,0,1,253,4,256,3.77e-151,419.0,259,0.9768339768339769,<=>
159,BSU_00710,NODE_33_length_33420_cov_158.845455_19,73.611,288,75,1,2,288,3,290,8.16e-160,443.0,292,0.9863013698630136,<=>
161,BSU_00720,NODE_2_length_103972_cov_145.337677_49,29.924,264,163,8,11,267,5,253,7.66e-20,84.3,298,0.8859060402684564,->
162,BSU_00730,NODE_33_length_33420_cov_158.845455_20,81.169,308,57,1,1,308,1,307,8.759999999999999e-176,485.0,309,0.9967637540453075,<=>
