,gene_x,subject,PID_x,gene_y,PID_y
23,BSU_00180,NODE_151_length_6724_cov_157.095381_4,70.625,BMD_RS00115,75.796
25,BSU_00190,NODE_151_length_6724_cov_157.095381_5,60.106,BMD_RS00120,77.837
38,BSU_00280,NODE_71_length_19219_cov_159.080765_2,65.842,BMD_RS00225,69.072
44,BSU_00340,NODE_71_length_19219_cov_159.080765_7,71.545,BMD_RS00250,77.108
57,BSU_00450,NODE_71_length_19219_cov_159.080765_17,63.158,BMD_RS00300,75.926
76,BSU_00630,NODE_33_length_33420_cov_158.845455_11,72.414,BMD_RS10495,68.027
91,BSU_00770,NODE_33_length_33420_cov_158.845455_24,60.573,BMD_RS04080,65.328
92,BSU_00780,NODE_33_length_33420_cov_158.845455_25,73.109,BMD_RS00470,75.0
99,BSU_00850,NODE_13_length_58972_cov_159.635436_73,69.477,BMD_RS00510,79.155
117,BSU_00990,NODE_13_length_58972_cov_159.635436_59,62.0,BMD_RS00580,76.0
124,BSU_01060,NODE_13_length_58972_cov_159.635436_52,65.842,BMD_RS00615,74.627
127,BSU_01090,NODE_13_length_58972_cov_159.635436_49,65.432,BMD_RS00630,73.494
163,BSU_01460,NODE_13_length_58972_cov_159.635436_14,61.455,BMD_RS00810,77.431
172,BSU_01530,NODE_158_length_5585_cov_154.744553_3,62.555,BMD_RS00840,75.0
191,BSU_01700,NODE_109_length_11822_cov_126.438995_10,64.527,BMD_RS04370,69.9
219,BSU_30690,NODE_116_length_10391_cov_148.007078_13,67.568,BMD_RS23590,76.19
510,BSU_10220,NODE_85_length_16197_cov_136.247891_14,77.23,BMD_RS05200,63.397
511,BSU_10220,NODE_85_length_16197_cov_136.247891_14,77.23,BMD_RS08640,60.235
527,BSU_02420,NODE_59_length_21307_cov_152.707772_19,61.111,BMD_RS03990,63.341
528,BSU_02420,NODE_59_length_21307_cov_152.707772_19,61.111,BMD_RS19220,65.948
543,BSU_16770,NODE_3_length_98070_cov_142.751472_2,65.636,BMD_RS08220,66.084
655,BSU_09890,NODE_2_length_103972_cov_145.337677_45,65.101,BMD_RS02850,77.667
672,BSU_03930,NODE_1_length_132867_cov_126.236720_98,69.084,BMD_RS04155,71.756
673,BSU_03930,NODE_1_length_132867_cov_126.236720_98,69.084,BMD_RS05170,65.649
674,BSU_03930,NODE_1_length_132867_cov_126.236720_98,69.084,BMD_RS08735,65.267
675,BSU_03930,NODE_1_length_132867_cov_126.236720_98,69.084,BMD_RS16385,68.702
790,BSU_03130,NODE_10_length_64414_cov_278.936102_47,70.33,BMD_RS10490,77.86
796,BSU_32850,NODE_35_length_30699_cov_187.081706_27,61.589,BMD_RS24255,69.935
798,BSU_03210,NODE_30_length_37530_cov_136.704616_1,69.186,BMD_RS18495,76.125
800,BSU_37780,NODE_30_length_37530_cov_136.704616_1,79.845,BMD_RS18495,76.125
811,BSU_03290,NODE_112_length_11337_cov_128.227353_4,66.346,BMD_RS05585,78.899
885,BSU_03470,NODE_1_length_132867_cov_126.236720_110,75.0,BMD_RS07370,74.545
962,BSU_03670,NODE_107_length_12129_cov_347.698058_3,63.158,BMD_RS09770,72.636
1001,BSU_09958,NODE_72_length_19087_cov_116.812678_2,73.913,BMD_RS25755,76.667
1002,BSU_09959,NODE_72_length_19087_cov_116.812678_2,71.429,BMD_RS25755,76.667
1003,BSU_26826,NODE_72_length_19087_cov_116.812678_2,60.87,BMD_RS25755,76.667
1005,BSU_03800,NODE_66_length_19950_cov_117.172848_12,69.401,BMD_RS15635,69.36
1006,BSU_03810,NODE_66_length_19950_cov_117.172848_13,64.557,BMD_RS15630,61.076
1007,BSU_03820,NODE_66_length_19950_cov_117.172848_14,67.46,BMD_RS15625,65.476
1042,BSU_03920,NODE_1_length_132867_cov_126.236720_99,60.211,BMD_RS05165,61.189
1085,BSU_36370,NODE_57_length_22552_cov_122.070834_14,76.978,BMD_RS11800,62.59
